"","year","Infant mortality rate","Neonatal mortality rate","Under 5 mortality rate","Maternal Mortality rate","ISO"
"1359",2018,17.8,11.1,20.9,NA,"EGY"
"1360",2019,17.2,10.7,20.1,NA,"EGY"
"1361",2000,27.4,15,33.2,73,"SLV"
"1362",2001,26,14.1,31.3,75,"SLV"
"1363",2002,24.7,13.4,29.6,68,"SLV"
"1364",2003,23.5,12.8,28.1,66,"SLV"
"1365",2004,22.4,12.1,26.6,64,"SLV"
"1366",2005,21.2,11.6,25.1,62,"SLV"
"1367",2006,20.2,11.1,23.8,60,"SLV"
"1368",2007,19.2,10.6,22.6,58,"SLV"
"1369",2008,18.3,10.1,21.4,57,"SLV"
"1370",2009,17.4,9.7,20.4,57,"SLV"
"1371",2010,16.6,9.3,19.4,54,"SLV"
"1372",2011,15.8,8.9,18.5,53,"SLV"
"1373",2012,15.1,8.5,17.6,52,"SLV"
"1374",2013,14.4,8.2,16.8,50,"SLV"
"1375",2014,13.8,7.8,16.1,49,"SLV"
"1376",2015,13.3,7.5,15.5,48,"SLV"
"1377",2016,12.8,7.2,14.9,47,"SLV"
"1378",2017,12.3,7,14.3,46,"SLV"
"1379",2018,11.9,6.7,13.8,NA,"SLV"
"1380",2019,11.5,6.5,13.3,NA,"SLV"
"1381",2000,107.1,44.3,155.7,454,"GNQ"
"1382",2001,104.4,43.7,151.4,421,"GNQ"
"1383",2002,101.7,42.9,147.1,392,"GNQ"
"1384",2003,99,42.1,142.8,370,"GNQ"
"1385",2004,96.1,41.2,138.2,357,"GNQ"
"1386",2005,93.2,40.2,133.5,344,"GNQ"
"1387",2006,90.3,39.1,129,331,"GNQ"
"1388",2007,87.4,37.9,124.4,322,"GNQ"
"1389",2008,84.5,36.9,119.7,314,"GNQ"
"1390",2009,81.7,35.9,115.3,310,"GNQ"
"1391",2010,79.1,35.1,111.2,308,"GNQ"
"1392",2011,76.7,34.3,107.4,308,"GNQ"
"1393",2012,74.3,33.7,103.6,305,"GNQ"
"1394",2013,72.1,33,100.2,300,"GNQ"
"1395",2014,69.9,32.5,96.8,295,"GNQ"
"1396",2015,67.6,31.8,93.2,296,"GNQ"
"1397",2016,65.6,31.2,90,301,"GNQ"
"1398",2017,63.6,30.5,86.9,301,"GNQ"
"1399",2018,61.7,29.9,83.9,NA,"GNQ"
"1400",2019,60,29.2,81.2,NA,"GNQ"
"1401",2000,56.1,27,85.2,1280,"ERI"
"1402",2001,53.8,26.5,81.1,1180,"ERI"
"1403",2002,51.6,26.1,77.3,1130,"ERI"
"1404",2003,49.6,25.6,73.8,1060,"ERI"
"1405",2004,47.8,25.2,70.5,938,"ERI"
"1406",2005,46.1,24.7,67.5,804,"ERI"
"1407",2006,44.5,24.2,64.6,705,"ERI"
"1408",2007,43,23.7,61.9,635,"ERI"
"1409",2008,41.5,23.2,59.4,605,"ERI"
"1410",2009,40.2,22.6,57.1,583,"ERI"
"1411",2010,39,22.1,55.1,567,"ERI"
"1412",2011,37.9,21.5,53.1,558,"ERI"
"1413",2012,36.8,21.1,51.2,549,"ERI"
"1414",2013,35.8,20.6,49.5,540,"ERI"
"1415",2014,34.9,20.2,47.9,530,"ERI"
"1416",2015,34,19.7,46.3,518,"ERI"
"1417",2016,33.1,19.3,44.8,498,"ERI"
"1418",2017,32.2,18.9,43.3,480,"ERI"
"1419",2018,31.3,18.5,41.9,NA,"ERI"
"1420",2019,30.5,18.1,40.6,NA,"ERI"
"1421",2000,8.7,5.3,10.9,29,"EST"
"1422",2001,8,4.8,10.1,27,"EST"
"1423",2002,7.3,4.4,9.3,25,"EST"
"1424",2003,6.7,4,8.5,20,"EST"
"1425",2004,6.2,3.7,7.8,18,"EST"
"1426",2005,5.7,3.4,7.2,18,"EST"
"1427",2006,5.2,3.1,6.6,16,"EST"
"1428",2007,4.7,2.8,6,17,"EST"
"1429",2008,4.3,2.5,5.5,14,"EST"
"1430",2009,4,2.3,5,14,"EST"
"1431",2010,3.6,2.1,4.6,11,"EST"
"1432",2011,3.3,1.9,4.2,13,"EST"
"1433",2012,3,1.7,3.9,12,"EST"
"1434",2013,2.8,1.6,3.6,10,"EST"
"1435",2014,2.6,1.5,3.3,11,"EST"
"1436",2015,2.4,1.4,3.1,10,"EST"
"1437",2016,2.2,1.3,2.8,11,"EST"
"1438",2017,2.1,1.2,2.6,9,"EST"
"1439",2018,1.9,1.1,2.4,NA,"EST"
"1440",2019,1.8,1,2.3,NA,"EST"
"1441",2000,67.8,25.3,112.2,521,"SWZ"
"1442",2001,69,25.2,115.8,528,"SWZ"
"1443",2002,69.6,24.9,117.7,534,"SWZ"
"1444",2003,69.8,24.5,119.2,538,"SWZ"
"1445",2004,69.1,23.9,119.7,539,"SWZ"
"1446",2005,68.3,23.3,119.4,532,"SWZ"
"1447",2006,58.8,22.8,109,518,"SWZ"
"1448",2007,59.3,22.4,103.8,496,"SWZ"
"1449",2008,61.1,22.3,101.9,474,"SWZ"
"1450",2009,57.9,22.3,96,460,"SWZ"
"1451",2010,54.7,22.4,85.5,450,"SWZ"
"1452",2011,51.5,22.5,73.4,441,"SWZ"
"1453",2012,50.6,22.6,66,435,"SWZ"
"1454",2013,49.5,22.5,62.5,432,"SWZ"
"1455",2014,50.1,22.4,62.4,434,"SWZ"
"1456",2015,45.2,22.1,57.2,435,"SWZ"
"1457",2016,42.6,21.8,55.6,436,"SWZ"
"1458",2017,43.5,21.5,57.9,437,"SWZ"
"1459",2018,39.4,21.1,52.2,NA,"SWZ"
"1460",2019,37.7,20.7,48,NA,"SWZ"
"1461",2000,87.2,48.6,140.7,1030,"ETH"
"1462",2001,83.8,47.8,134.6,988,"ETH"
"1463",2002,80.3,46.8,128.3,985,"ETH"
"1464",2003,76.7,45.8,121.8,972,"ETH"
"1465",2004,73.1,44.8,115.3,929,"ETH"
"1466",2005,69.5,43.7,108.9,865,"ETH"
"1467",2006,66.1,42.6,102.8,795,"ETH"
"1468",2007,62.8,41.4,97,731,"ETH"
"1469",2008,59.8,40.2,91.6,681,"ETH"
"1470",2009,57,39.1,86.7,638,"ETH"
"1471",2010,54.3,37.9,82,597,"ETH"
"1472",2011,51.9,36.7,77.7,558,"ETH"
"1473",2012,49.5,35.5,73.5,527,"ETH"
"1474",2013,47.3,34.3,69.6,498,"ETH"
"1475",2014,45.2,33.1,65.9,472,"ETH"
"1476",2015,43.2,31.9,62.4,446,"ETH"
"1477",2016,41.3,30.7,59,422,"ETH"
"1478",2017,39.5,29.7,55.9,401,"ETH"
"1479",2018,38,28.7,53.2,NA,"ETH"
"1480",2019,36.6,27.8,50.8,NA,"ETH"
"1481",2000,4.696466531,3.152059247,5.801598771,8,NA
"1482",2001,4.516125961,3.008281521,5.595208826,7,NA
"1483",2002,4.340624687,2.955245655,5.374208298,7,NA
"1484",2003,4.193157965,2.844436145,5.177697785,7,NA
"1485",2004,4.004423378,2.736419126,5.017875049,7,NA
"1486",2005,3.869427271,2.637881109,4.814012671,7,NA
"1487",2006,3.77414197,2.575700773,4.649138011,6,NA
"1488",2007,3.652889576,2.489068151,4.521799796,6,NA
"1489",2008,3.552001682,2.440014156,4.405105282,6,NA
"1490",2009,3.43715676,2.411067096,4.298837622,6,NA
"1491",2010,3.380913801,2.330703398,4.168126408,6,NA
"1492",2011,3.310764644,2.320738262,4.093434035,6,NA
"1493",2012,3.260382246,2.30044028,3.991256585,6,NA
"1494",2013,3.190569679,2.26545563,3.942226621,6,NA
"1495",2014,3.164692289,2.285227329,3.901165475,5,NA
"1496",2015,3.163566443,2.251269283,3.859778452,5,NA
"1497",2016,3.145748634,2.271070292,3.834500342,5,NA
"1498",2017,3.148052166,2.273152801,3.829540151,5,NA
"1499",2018,3.122405327,2.247932994,3.789841401,NA,NA
"1500",2019,3.09880315,2.236532944,3.724084963,NA,NA
"1501",2000,17.5,10.2,21.2,27,NA
"1502",2001,16.5,9.8,19.9,26,NA
"1503",2002,15.6,9.3,18.7,25,NA
"1504",2003,14.7,8.8,17.5,24,NA
"1505",2004,13.8,8.4,16.4,23,NA
"1506",2005,13,8,15.4,22,NA
"1507",2006,12.3,7.6,14.5,21,NA
"1508",2007,11.6,7.2,13.7,20,NA
"1509",2008,11,6.8,13,19,NA
"1510",2009,10.5,6.4,12.3,18,NA
"1511",2010,10,6.2,11.7,17,NA
"1512",2011,9.6,5.9,11.2,16,NA
"1513",2012,9.2,5.7,10.8,15,NA
"1514",2013,8.8,5.4,10.3,15,NA
"1515",2014,8.4,5.2,9.9,14,NA
"1516",2015,8.1,5,9.4,14,NA
"1517",2016,7.7,4.8,9,13,NA
"1518",2017,7.4,4.6,8.6,13,NA
"1519",2018,7.1,4.4,8.3,NA,NA
"1520",2019,6.8,4.2,7.9,NA,NA
"1521",2000,27.58651909,15.8175298,33.36267772,43,NA
"1522",2001,25.99524391,15.06117826,31.26934207,41,NA
"1523",2002,24.39738913,14.23548006,29.19698507,40,NA
"1524",2003,22.87964033,13.43774318,27.26464511,38,NA
"1525",2004,21.41771658,12.73360663,25.39375468,35,NA
"1526",2005,20.0309888,12.03777036,23.67188882,34,NA
"1527",2006,18.76467575,11.38697467,22.09133836,31,NA
"1528",2007,17.62055102,10.70605173,20.63291941,29,NA
"1529",2008,16.56097025,9.992664458,19.35413712,28,NA
"1530",2009,15.6012162,9.391638477,18.23191806,26,NA
"1531",2010,14.76645883,8.892241863,17.22833982,24,NA
"1532",2011,14.02039009,8.44284627,16.33794416,23,NA
"1533",2012,13.3542414,8.001756542,15.51654995,22,NA
"1534",2013,12.67904622,7.602057642,14.72271931,21,NA
"1535",2014,12.03218475,7.194934819,13.96641082,20,NA
"1536",2015,11.37500117,6.793148932,13.23809154,19,NA
"1537",2016,10.80892333,6.411827899,12.50653837,18,NA
"1538",2017,10.21981137,6.13216862,11.8764851,18,NA
"1539",2018,9.75830752,5.829396145,11.30095202,NA,NA
"1540",2019,9.303456941,5.582100763,10.78264562,NA,NA
"1541",2000,29.66154646,16.90193447,35.92609411,45,NA
"1542",2001,27.90783362,16.08901168,33.61145104,43,NA
"1543",2002,26.12291157,15.17713919,31.29883762,42,NA
"1544",2003,24.4269964,14.29844365,29.13894691,40,NA
"1545",2004,22.815656,13.53358929,27.07914163,38,NA
"1546",2005,21.32131615,12.79147533,25.21311598,36,NA
"1547",2006,19.96548654,12.10684442,23.5190167,33,NA
"1548",2007,18.73682768,11.38430405,21.95128699,31,NA
"1549",2008,17.60067164,10.61397629,20.57151048,29,NA
"1550",2009,16.56050392,9.963380317,19.35709156,27,NA
"1551",2010,15.6579693,9.421742687,18.25941589,26,NA
"1552",2011,14.83866011,8.93022626,17.28646693,24,NA
"1553",2012,14.1119825,8.446715024,16.39474394,23,NA
"1554",2013,13.38463092,8.006534654,15.53401281,22,NA
"1555",2014,12.69359038,7.568546364,14.72480112,21,NA
"1556",2015,11.9906252,7.14205898,13.94597205,20,NA
"1557",2016,11.39509884,6.734705111,13.17427398,20,NA
"1558",2017,10.7691165,6.44286134,12.50652343,19,NA
"1559",2018,10.28174227,6.116432284,11.89695796,NA,NA
"1560",2019,9.798575221,5.851039162,11.34407786,NA,NA
"1561",2000,5.884239013,3.877706176,7.140496279,10,NA
"1562",2001,5.625409603,3.677050656,6.83937709,10,NA
"1563",2002,5.412376897,3.576805734,6.574752141,9,NA
"1564",2003,5.241291206,3.446579879,6.356706645,9,NA
"1565",2004,5.027960113,3.308757906,6.14406417,8,NA
"1566",2005,4.827376575,3.170580312,5.877724441,8,NA
"1567",2006,4.645088753,3.050396714,5.61901912,8,NA
"1568",2007,4.453884624,2.917450548,5.397930342,7,NA
"1569",2008,4.273168131,2.820194334,5.198994395,7,NA
"1570",2009,4.102428626,2.74930801,5.01249353,7,NA
"1571",2010,3.972907609,2.639593426,4.832654426,7,NA
"1572",2011,3.857706011,2.595277219,4.698793109,7,NA
"1573",2012,3.760763229,2.550054249,4.543439823,6,NA
"1574",2013,3.646518493,2.498191064,4.439953839,6,NA
"1575",2014,3.567113205,2.483005354,4.341409145,6,NA
"1576",2015,3.512366861,2.422211207,4.255040535,6,NA
"1577",2016,3.448654216,2.406155251,4.165583071,6,NA
"1578",2017,3.404109399,2.378243797,4.110763789,6,NA
"1579",2018,3.340164338,2.341501292,4.031466588,NA,NA
"1580",2019,3.287070258,2.316744282,3.943376296,NA,NA
"1581",2000,NA,NA,NA,NA,"FRO"
"1582",2001,NA,NA,NA,NA,"FRO"
"1583",2002,NA,NA,NA,NA,"FRO"
"1584",2003,NA,NA,NA,NA,"FRO"
"1585",2004,NA,NA,NA,NA,"FRO"
"1586",2005,NA,NA,NA,NA,"FRO"
"1587",2006,NA,NA,NA,NA,"FRO"
"1588",2007,NA,NA,NA,NA,"FRO"
"1589",2008,NA,NA,NA,NA,"FRO"
"1590",2009,NA,NA,NA,NA,"FRO"
"1591",2010,NA,NA,NA,NA,"FRO"
"1592",2011,NA,NA,NA,NA,"FRO"
"1593",2012,NA,NA,NA,NA,"FRO"
"1594",2013,NA,NA,NA,NA,"FRO"
"1595",2014,NA,NA,NA,NA,"FRO"
"1596",2015,NA,NA,NA,NA,"FRO"
"1597",2016,NA,NA,NA,NA,"FRO"
"1598",2017,NA,NA,NA,NA,"FRO"
"1599",2018,NA,NA,NA,NA,"FRO"
"1600",2019,NA,NA,NA,NA,"FRO"
"1601",2000,19.1,10.1,22.4,51,"FJI"
"1602",2001,19,10.2,22.3,49,"FJI"
"1603",2002,19,10.5,22.4,48,"FJI"
"1604",2003,19.2,11,22.5,48,"FJI"
"1605",2004,19.4,11.4,22.8,47,"FJI"
"1606",2005,19.7,11.6,23.1,46,"FJI"
"1607",2006,19.9,11.5,23.4,44,"FJI"
"1608",2007,20.1,11,23.7,43,"FJI"
"1609",2008,20.2,10.3,23.8,42,"FJI"
"1610",2009,20.1,9.7,23.7,40,"FJI"
"1611",2010,20,9.3,23.6,39,"FJI"
"1612",2011,20,9,23.6,38,"FJI"
"1613",2012,20,9,23.5,38,"FJI"
"1614",2013,20.1,9.1,23.7,37,"FJI"
"1615",2014,20.3,9.4,23.9,36,"FJI"
"1616",2015,20.6,9.8,24.4,35,"FJI"
"1617",2016,21.1,10.2,24.9,34,"FJI"
"1618",2017,21.5,10.6,25.5,34,"FJI"
"1619",2018,22.1,11,26.2,NA,"FJI"
"1620",2019,22.6,11.4,26.9,NA,"FJI"
"1621",2000,3.5,2.5,4.3,6,"FIN"
"1622",2001,3.4,2.4,4.2,5,"FIN"
"1623",2002,3.3,2.3,4.1,5,"FIN"
"1624",2003,3.3,2.2,4,5,"FIN"
"1625",2004,3.2,2.1,3.9,5,"FIN"
"1626",2005,3.1,2.1,3.7,5,"FIN"
"1627",2006,3,2,3.6,4,"FIN"
"1628",2007,2.8,1.9,3.5,4,"FIN"
"1629",2008,2.7,1.8,3.3,4,"FIN"
"1630",2009,2.6,1.8,3.2,4,"FIN"
"1631",2010,2.5,1.7,3,4,"FIN"
"1632",2011,2.4,1.6,2.9,4,"FIN"
"1633",2012,2.3,1.5,2.8,4,"FIN"
"1634",2013,2.2,1.4,2.7,4,"FIN"
"1635",2014,2.1,1.4,2.6,3,"FIN"
"1636",2015,2,1.4,2.5,3,"FIN"
"1637",2016,2,1.4,2.4,3,"FIN"
"1638",2017,2,1.4,2.4,3,"FIN"
"1639",2018,1.9,1.4,2.4,NA,"FIN"
"1640",2019,1.9,1.4,2.3,NA,"FIN"
"1641",2000,85.88232882,40.48758006,138.5042357,840,NA
"1642",2001,83.60793601,39.69128497,134.3396047,822,NA
"1643",2002,81.29765864,38.84924764,130.0387841,809,NA
"1644",2003,78.95899503,38.04575573,125.7110177,792,NA
"1645",2004,76.63154789,37.23107722,121.3666822,764,NA
"1646",2005,74.37944927,36.44262884,117.1427705,730,NA
"1647",2006,72.18440296,35.68937333,113.0606893,702,NA
"1648",2007,70.00219712,34.95893366,109.0644662,676,NA
"1649",2008,68.48415946,34.29211062,106.4947574,657,NA
"1650",2009,66.20908369,33.61292425,101.8301981,639,NA
"1651",2010,64.9876737,33.0177549,99.94993007,623,NA
"1652",2011,62.98138961,32.43397185,95.79884657,609,NA
"1653",2012,61.60627795,31.92861185,93.34158058,597,NA
"1654",2013,60.3523165,31.46546148,90.96704524,585,NA
"1655",2014,59.136379,30.98365543,88.73551393,576,NA
"1656",2015,57.96462793,30.59514557,86.5315534,561,NA
"1657",2016,56.86639653,30.13219254,84.43634055,552,NA
"1658",2017,55.54172896,29.67919697,82.030252,542,NA
"1659",2018,54.36763158,29.16015349,79.89866916,NA,NA
"1660",2019,53.13138866,28.67147982,77.75262979,NA,NA
"1661",2000,4.1,2.8,5.4,10,"FRA"
"1662",2001,3.9,2.7,5.3,10,"FRA"
"1663",2002,3.7,2.7,5.1,10,"FRA"
"1664",2003,3.6,2.6,4.9,9,"FRA"
"1665",2004,3.4,2.5,4.8,9,"FRA"
"1666",2005,3.3,2.4,4.6,9,"FRA"
"1667",2006,3.3,2.4,4.5,9,"FRA"
"1668",2007,3.2,2.4,4.4,9,"FRA"
"1669",2008,3.2,2.4,4.4,9,"FRA"
"1670",2009,3.1,2.4,4.3,9,"FRA"
"1671",2010,3.1,2.3,4.2,9,"FRA"
"1672",2011,3.1,2.3,4.2,9,"FRA"
"1673",2012,3.1,2.3,4.1,9,"FRA"
"1674",2013,3.1,2.3,4.1,9,"FRA"
"1675",2014,3.1,2.4,4.1,8,"FRA"
"1676",2015,3.2,2.4,4.2,8,"FRA"
"1677",2016,3.2,2.5,4.2,8,"FRA"
"1678",2017,3.3,2.6,4.3,8,"FRA"
"1679",2018,3.4,2.6,4.3,NA,"FRA"
"1680",2019,3.4,2.6,4.3,NA,"FRA"
"1681",2000,NA,NA,NA,NA,"PYF"
"1682",2001,NA,NA,NA,NA,"PYF"
"1683",2002,NA,NA,NA,NA,"PYF"
"1684",2003,NA,NA,NA,NA,"PYF"
"1685",2004,NA,NA,NA,NA,"PYF"
"1686",2005,NA,NA,NA,NA,"PYF"
"1687",2006,NA,NA,NA,NA,"PYF"
"1688",2007,NA,NA,NA,NA,"PYF"
"1689",2008,NA,NA,NA,NA,"PYF"
"1690",2009,NA,NA,NA,NA,"PYF"
"1691",2010,NA,NA,NA,NA,"PYF"
"1692",2011,NA,NA,NA,NA,"PYF"
"1693",2012,NA,NA,NA,NA,"PYF"
"1694",2013,NA,NA,NA,NA,"PYF"
"1695",2014,NA,NA,NA,NA,"PYF"
"1696",2015,NA,NA,NA,NA,"PYF"
"1697",2016,NA,NA,NA,NA,"PYF"
"1698",2017,NA,NA,NA,NA,"PYF"
"1699",2018,NA,NA,NA,NA,"PYF"
"1700",2019,NA,NA,NA,NA,"PYF"
"1701",2000,53.3,26.9,82.9,380,"GAB"
"1702",2001,52.3,26.6,81.4,370,"GAB"
"1703",2002,51.2,26.3,79.6,361,"GAB"
"1704",2003,50.2,26,77.8,356,"GAB"
"1705",2004,49,25.7,75.8,354,"GAB"
"1706",2005,47.7,25.4,73.6,348,"GAB"
"1707",2006,46.6,25.1,71.6,340,"GAB"
"1708",2007,45.2,24.8,69.2,336,"GAB"
"1709",2008,43.9,24.5,66.7,332,"GAB"
"1710",2009,42.9,24.2,64.2,324,"GAB"
"1711",2010,41.6,23.8,61.7,314,"GAB"
"1712",2011,40.4,23.5,59.3,304,"GAB"
"1713",2012,39.1,23.1,57.1,292,"GAB"
"1714",2013,37.9,22.7,54.9,277,"GAB"
"1715",2014,37.2,22.2,52.8,267,"GAB"
"1716",2015,36.1,21.8,50.3,261,"GAB"
"1717",2016,34.6,21.3,47.4,256,"GAB"
"1718",2017,33.7,20.9,45.5,252,"GAB"
"1719",2018,32.5,20.5,44.1,NA,"GAB"
"1720",2019,31.5,20.1,43,NA,"GAB"
"1721",2000,61.6,40.6,113.4,932,"GMB"
"1722",2001,59.8,39.8,108.7,905,"GMB"
"1723",2002,58.1,39.1,104.2,876,"GMB"
"1724",2003,56.4,38.4,99.8,843,"GMB"
"1725",2004,54.7,37.7,95.6,802,"GMB"
"1726",2005,53.1,37,91.5,756,"GMB"
"1727",2006,51.5,36.3,87.6,716,"GMB"
"1728",2007,50,35.5,83.8,690,"GMB"
"1729",2008,48.6,34.7,80.3,675,"GMB"
"1730",2009,47.1,33.9,76.8,668,"GMB"
"1731",2010,45.8,33.1,73.6,661,"GMB"
"1732",2011,44.5,32.4,70.6,656,"GMB"
"1733",2012,43.2,31.7,67.7,650,"GMB"
"1734",2013,42,30.9,65,644,"GMB"
"1735",2014,40.9,30.1,62.4,637,"GMB"
"1736",2015,39.7,29.4,59.8,625,"GMB"
"1737",2016,38.6,28.5,57.4,611,"GMB"
"1738",2017,37.5,27.8,55.1,597,"GMB"
"1739",2018,36.5,27.1,53.1,NA,"GMB"
"1740",2019,35.6,26.4,51.2,NA,"GMB"
"1741",2000,31.9,22.8,36.6,31,"GEO"
"1742",2001,29.9,21.7,34.1,33,"GEO"
"1743",2002,27.7,20.3,31.5,42,"GEO"
"1744",2003,25.5,18.9,28.8,37,"GEO"
"1745",2004,23.2,17.4,26.2,38,"GEO"
"1746",2005,21,15.9,23.6,39,"GEO"
"1747",2006,19,14.5,21.3,33,"GEO"
"1748",2007,17.1,13.2,19.1,36,"GEO"
"1749",2008,15.4,12,17.2,39,"GEO"
"1750",2009,13.9,11,15.6,43,"GEO"
"1751",2010,12.7,10.1,14.2,32,"GEO"
"1752",2011,11.6,9.3,13,32,"GEO"
"1753",2012,10.8,8.6,12.1,30,"GEO"
"1754",2013,10.2,8,11.4,30,"GEO"
"1755",2014,9.7,7.3,10.9,29,"GEO"
"1756",2015,9.4,6.7,10.5,27,"GEO"
"1757",2016,9.1,6.2,10.2,26,"GEO"
"1758",2017,8.8,5.8,9.9,25,"GEO"
"1759",2018,8.7,5.4,9.7,NA,"GEO"
"1760",2019,8.4,5.2,9.5,NA,"GEO"
"1761",2000,4.4,2.8,5.4,7,"DEU"
"1762",2001,4.3,2.7,5.2,7,"DEU"
"1763",2002,4.2,2.7,5.1,7,"DEU"
"1764",2003,4.1,2.7,5,6,"DEU"
"1765",2004,4,2.6,4.9,6,"DEU"
"1766",2005,3.9,2.6,4.7,6,"DEU"
"1767",2006,3.8,2.6,4.6,6,"DEU"
"1768",2007,3.7,2.5,4.5,6,"DEU"
"1769",2008,3.6,2.4,4.4,6,"DEU"
"1770",2009,3.5,2.4,4.3,6,"DEU"
"1771",2010,3.5,2.3,4.2,6,"DEU"
"1772",2011,3.4,2.3,4.1,6,"DEU"
"1773",2012,3.4,2.3,4,5,"DEU"
"1774",2013,3.3,2.3,4,5,"DEU"
"1775",2014,3.3,2.3,4,5,"DEU"
"1776",2015,3.3,2.3,3.9,5,"DEU"
"1777",2016,3.3,2.3,3.9,5,"DEU"
"1778",2017,3.3,2.3,3.9,7,"DEU"
"1779",2018,3.2,2.3,3.8,NA,"DEU"
"1780",2019,3.2,2.3,3.7,NA,"DEU"
"1781",2000,64.3,35.8,99.7,484,"GHA"
"1782",2001,62.1,34.9,95.7,445,"GHA"
"1783",2002,59.9,34.2,91.9,415,"GHA"
"1784",2003,58,33.5,88.5,398,"GHA"
"1785",2004,56.4,33,85.6,384,"GHA"
"1786",2005,54.9,32.6,83,371,"GHA"
"1787",2006,53.5,32.2,80.6,359,"GHA"
"1788",2007,52.1,31.7,78,349,"GHA"
"1789",2008,50.5,31.2,75.3,342,"GHA"
"1790",2009,48.8,30.5,72.3,339,"GHA"
"1791",2010,47,29.8,69.1,339,"GHA"
"1792",2011,45.2,29,65.9,339,"GHA"
"1793",2012,43.4,28.2,62.7,336,"GHA"
"1794",2013,41.8,27.5,59.8,331,"GHA"
"1795",2014,40.2,26.8,57.1,325,"GHA"
"1796",2015,38.8,26,54.6,320,"GHA"
"1797",2016,37.4,25.4,52.2,314,"GHA"
"1798",2017,36.2,24.7,50.1,308,"GHA"
"1799",2018,35,24.1,48.1,NA,"GHA"
"1800",2019,34,23.5,46.4,NA,"GHA"
"1801",2000,NA,NA,NA,NA,"GIB"
"1802",2001,NA,NA,NA,NA,"GIB"
"1803",2002,NA,NA,NA,NA,"GIB"
"1804",2003,NA,NA,NA,NA,"GIB"
"1805",2004,NA,NA,NA,NA,"GIB"
"1806",2005,NA,NA,NA,NA,"GIB"
"1807",2006,NA,NA,NA,NA,"GIB"
"1808",2007,NA,NA,NA,NA,"GIB"
"1809",2008,NA,NA,NA,NA,"GIB"
"1810",2009,NA,NA,NA,NA,"GIB"
"1811",2010,NA,NA,NA,NA,"GIB"
"1812",2011,NA,NA,NA,NA,"GIB"
"1813",2012,NA,NA,NA,NA,"GIB"
"1814",2013,NA,NA,NA,NA,"GIB"
"1815",2014,NA,NA,NA,NA,"GIB"
"1816",2015,NA,NA,NA,NA,"GIB"
"1817",2016,NA,NA,NA,NA,"GIB"
"1818",2017,NA,NA,NA,NA,"GIB"
"1819",2018,NA,NA,NA,NA,"GIB"
"1820",2019,NA,NA,NA,NA,"GIB"
"1821",2000,5.6,3.9,6.4,3,"GRC"
"1822",2001,5.2,3.6,6,3,"GRC"
"1823",2002,4.9,3.3,5.6,3,"GRC"
"1824",2003,4.6,3,5.2,3,"GRC"
"1825",2004,4.3,2.7,4.9,3,"GRC"
"1826",2005,4,2.5,4.6,3,"GRC"
"1827",2006,3.8,2.4,4.3,3,"GRC"
"1828",2007,3.6,2.2,4.1,3,"GRC"
"1829",2008,3.5,2.1,4,3,"GRC"
"1830",2009,3.4,2.1,3.9,3,"GRC"
"1831",2010,3.4,2.1,3.9,3,"GRC"
"1832",2011,3.5,2.2,4,3,"GRC"
"1833",2012,3.5,2.3,4,3,"GRC"
"1834",2013,3.6,2.4,4.1,3,"GRC"
"1835",2014,3.7,2.6,4.3,3,"GRC"
"1836",2015,3.8,2.6,4.4,3,"GRC"
"1837",2016,3.9,2.6,4.4,3,"GRC"
"1838",2017,3.8,2.6,4.3,3,"GRC"
"1839",2018,3.7,2.5,4.2,NA,"GRC"
"1840",2019,3.7,2.5,4.2,NA,"GRC"
"1841",2000,NA,NA,NA,NA,"GRL"
"1842",2001,NA,NA,NA,NA,"GRL"
"1843",2002,NA,NA,NA,NA,"GRL"
"1844",2003,NA,NA,NA,NA,"GRL"
"1845",2004,NA,NA,NA,NA,"GRL"
"1846",2005,NA,NA,NA,NA,"GRL"
"1847",2006,NA,NA,NA,NA,"GRL"
"1848",2007,NA,NA,NA,NA,"GRL"
"1849",2008,NA,NA,NA,NA,"GRL"
"1850",2009,NA,NA,NA,NA,"GRL"
"1851",2010,NA,NA,NA,NA,"GRL"
"1852",2011,NA,NA,NA,NA,"GRL"
"1853",2012,NA,NA,NA,NA,"GRL"
"1854",2013,NA,NA,NA,NA,"GRL"
"1855",2014,NA,NA,NA,NA,"GRL"
"1856",2015,NA,NA,NA,NA,"GRL"
"1857",2016,NA,NA,NA,NA,"GRL"
"1858",2017,NA,NA,NA,NA,"GRL"
"1859",2018,NA,NA,NA,NA,"GRL"
"1860",2019,NA,NA,NA,NA,"GRL"
"1861",2000,12.9,8,15.5,38,"GRD"
"1862",2001,12.8,8,15.2,36,"GRD"
"1863",2002,12.6,8,15,34,"GRD"
"1864",2003,12.5,8,14.8,34,"GRD"
"1865",2004,12.5,8,14.7,38,"GRD"
"1866",2005,12.4,8,14.6,33,"GRD"
"1867",2006,12.5,8,14.6,31,"GRD"
"1868",2007,12.5,8.1,14.6,31,"GRD"
"1869",2008,12.7,8.3,14.7,30,"GRD"
"1870",2009,12.8,8.6,14.9,30,"GRD"
"1871",2010,13,8.9,15.1,29,"GRD"
"1872",2011,13.3,9.3,15.3,28,"GRD"
"1873",2012,13.5,9.7,15.5,28,"GRD"
"1874",2013,13.8,10.1,15.8,27,"GRD"
"1875",2014,14,10.5,16,26,"GRD"
"1876",2015,14.3,10.7,16.2,25,"GRD"
